연번,군구명,병원종별,의료기관명,소재지,연락처,병실수,병상수,진료과목,비고
25,강화군,의원,임성식 내과의원,"인천광역시 강화군 강화읍 강화대로 395, 준프라자 빌딩 3층",032-932-3375,0,0,진단검사의학과 영상의학과 비뇨의학과 피부과 이비인후과 소아청소년과 정형외과 정신건강의학과 신경과 내과,
26,강화군,의원,임용철마취통증의학과의원,"인천광역시 강화군 강화읍 강화대로 395, 5층 502호 (준프라자빌딩)",032-932-2486,0,0,재활의학과 마취통증의학과 정형외과,
27,강화군,의원,큰나무 의원,인천광역시 강화군 강화읍 중앙로 9,032-233-7588,0,0,가정의학과 내과 정형외과 마취통증의학과 이비인후과 신경외과 피부과 소아청소년과,
28,강화군,의원,정 의원,인천광역시 강화군 강화읍 강화대로 395 (준프라자빌딩),032-933-8765,0,0,비뇨의학과 피부과 이비인후과 소아청소년과 내과,
29,강화군,의원,유여성 의원,인천광역시 강화군 강화읍 강화대로 410,032-933-6080,0,0,산부인과,
30,강화군,의원,강화연세안과의원,인천광역시 강화군 강화읍 중앙로 23,032-934-7573,0,0,안과,
31,강화군,의원,드림 소아청소년과의원,인천광역시 강화군 강화읍 동문안길 9-1,032-934-1175,0,0,소아청소년과 내과,
32,강화군,의원,수이비인후과의원,인천광역시 강화군 강화읍 강화대로 402,032-933-7503,0,0,이비인후과,
33,강화군,의원,유안과의원,인천광역시 강화군 강화읍 강화대로 412-1,032-934-2164,0,0,안과,
34,강화군,의원,에바다의원,인천광역시 강화군 강화읍 중앙로 25,032-933-0059,0,0,내과 소아청소년과 가정의학과 산부인과,
35,강화군,의원,강화튼튼신경외과의원,인천광역시 강화군 강화읍 강화대로 387,032-934-8845,0,0,재활의학과 마취통증의학과 신경외과 정형외과 ,
36,강화군,의원,인성의원,인천광역시 강화군 강화읍 중앙로 23 (인성의원),032-932-4455,1,2,내과 가정의학과 정형외과 성형외과 신경과 비뇨의학과 소아청소년과 피부과 이비인후과,
37,강화군,의원,현대내과의원,인천광역시 강화군 강화읍 강화대로 410 (정프라자),032-934-4007,0,0,내과,
38,강화군,의원,제일성모의원,인천광역시 강화군 강화읍 중앙로 27,032-734-7576,0,0,소아청소년과 정형외과 외과 내과,
39,강화군,의원,강화신경외과의원,인천광역시 강화군 강화읍 중앙로 45,032-934-2774,9,29,신경외과,
40,강화군,의원,중앙의원,인천광역시 강화군 강화읍 강화대로 412,032-933-2678,0,0,내과,
41,강화군,의원,온수의원,인천광역시 강화군 길상면 온수길36번길 2,032-937-6835,0,0,내과,
42,강화군,의원,남궁내과의원,인천광역시 강화군 강화읍 강화대로 422,032-934-2142,0,0,내과,
43,강화군,의원,마음튼튼의원,인천광역시 강화군 강화읍 중앙로 27 성용프라자 3층,032-932-9998,0,0,내과 신경과 정신건강의학과 가정의학과,
44,강화군,한의원,늘곁한의원,인천광역시 강화군 강화읍 강화대로 334,032-716-5975,0,0,한방내과 침구과,
45,강화군,한의원,채준환한의원,인천광역시 강화군 화도면 마니산로 716,032-937-7574,0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
46,강화군,한의원,더조은365한의원,"인천광역시 강화군 강화읍 충렬사로 25, 3층 303호",032-225-8275,0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
47,강화군,한의원,우리한의원,인천광역시 강화군 강화읍 강화대로 416,032-932-9330,0,0,한방내과 침구과 한방재활의학과 한방부인과 한방소아과 한방안·이비인후·피부과,
48,강화군,한의원,성심한의원,"인천광역시 강화군 길상면 강화동로 9, 삼천전력",032-937-8122,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방재활의학과 사상체질과 침구과,
49,강화군,한의원,용정한의원,인천광역시 강화군 강화읍 갑룡길 118,032-933-4048,0,0,한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 침구과 사상체질과,
50,강화군,한의원,제일한의원,인천광역시 강화군 강화읍 신문길 4,032-933-0087,0,0,한방내과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방소아과 한방재활의학과,
51,강화군,한의원,경희새벽한의원,인천광역시 강화군 강화읍 중앙로 23,032-932-7582,0,0,한방내과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방소아과 한방재활의학과,
52,강화군,한의원,경희백향한의원,"인천광역시 강화군 강화읍 강화대로404번길 4, 지상 1층",032-932-1029,0,0,한방내과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 침구과 한방소아과 한방재활의학과,
53,강화군,한의원,강화부부한의원,인천광역시 강화군 강화읍 향나무길 22,032-934-5533,0,0,침구과 한방안·이비인후·피부과 사상체질과 한방내과 한방부인과 한방신경정신과 한방소아과 한방재활의학과,
54,강화군,한의원,길상한의원,인천광역시 강화군 길상면 마니산로 53,032-937-8565,0,0,한방내과 침구과 한방안·이비인후·피부과 사상체질과 한방부인과 한방신경정신과 한방소아과 한방재활의학과,
55,강화군,한의원,경희한의원,인천광역시 강화군 강화읍 강화대로 387,032-933-7520,0,0,한방내과 침구과,
56,강화군,한의원,감초한의원,인천광역시 강화군 강화읍 청하동길9번길 7,032-934-2163,0,0,침구과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
57,강화군,한의원,강화한의원,"인천광역시 강화군 강화읍 강화대로393번길 5, 103호,104호",032-934-6336,0,0,한방내과 한방부인과 한방안·이비인후·피부과 사상체질과 한방신경정신과 침구과 한방소아과 한방재활의학과,
58,강화군,한의원,명인한의원,인천광역시 강화군 강화읍 강화대로 375,032-934-5806,0,0,한방내과 한방부인과 한방소아과 침구과 한방안·이비인후·피부과 한방신경정신과,
59,강화군,한의원,자성한의원,"인천광역시 강화군 강화읍 중앙로 68, 강화농협 하나로마트 2층 203호",032-719-8880,0,0,침구과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
60,강화군,한의원,현대한의원,"인천광역시 강화군 강화읍 강화대로 413, 2층",032-932-7570,0,0,침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과,
61,강화군,보건소,강화군보건소,인천광역시 강화군 강화읍 충렬사로 26-1,032-930-4022,,0,보건소,
62,강화군,보건지소,교동보건지소,인천광역시 강화군 교동면 교동동로 485-13,032-930-3547,,0,보건지소,
63,강화군,보건지소,길상보건지소,인천광역시 강화군 길상면 강화동로 15-1,032-937-0212,,0,보건지소,
64,강화군,보건지소,내가보건지소,인천광역시 강화군 내가면 강화서로 249,032-932-6015,,0,보건지소,
65,강화군,보건지소,볼음보건지소,"인천광역시 강화군 서도면 볼음도길 174, 볼음보건지소",032-932-7104,,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과 침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 예방의학과 응급의학과 직업환경의학과 핵의학과 가정의학과 결핵과 재활의학과 진단검사의학과 병리과 방사선종양학과 영상의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 산부인과 마취통증의학과 성형외과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과,
66,강화군,보건지소,불은보건지소,인천광역시 강화군 불은면 강화동로 562-3,032-937-4339,,0,보건지소,
67,강화군,보건지소,삼산보건지소,인천광역시 강화군 삼산면 삼산북로 439,032-932-3020,,0,보건지소,
68,강화군,보건지소,선원보건지소,인천광역시 강화군 선원면 대문고개로 22,032-933-4966,,0,보건지소,
69,강화군,보건지소,송해보건지소,인천광역시 강화군 송해면 전망대로 29,032-930-3546,,0,보건지소,
70,강화군,보건지소,양도보건지소,인천광역시 강화군 양도면 강화남로 708-2,032-937-2104,,0,보건지소,
71,강화군,보건지소,양사보건지소,인천광역시 강화군 양사면 전망대로 1391,032-932-5506,,0,보건지소,
72,강화군,보건지소,주문보건지소,인천광역시 강화군 서도면 주문도1길6번길 7-1,032-930-3549,,0,예방치과 구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과 침구과 사상체질과 한방재활의학과 한방신경정신과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 예방의학과 응급의학과 직업환경의학과 핵의학과 가정의학과 결핵과 재활의학과 진단검사의학과 병리과 방사선종양학과 영상의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 산부인과 마취통증의학과 성형외과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과,
73,강화군,보건지소,하점보건지소,인천광역시 강화군 하점면 강화대로 1220,032-930-3544,,0,보건지소,
74,강화군,보건지소,화도보건지소,인천광역시 강화군 화도면 마니산로 703-14,032-937-0256,,0,보건지소,
75,강화군,보건진료소,건평보건진료소,인천광역시 강화군 양도면 건평로155번길 41,032-937-1510,,0,보건진료소,
76,강화군,보건진료소,난정보건진료소,인천광역시 강화군 교동면 교동서로378번길 56-28,032-934-7807,,0,보건진료소,
77,강화군,보건진료소,매음보건진료소,인천광역시 강화군 삼산면 어류정길 36,032-932-3564,,0,보건진료소,
78,강화군,보건진료소,삼선보건진료소,인천광역시 강화군 교동면 교동북로 222-1,032-932-4808,,0,보건진료소,
79,강화군,보건진료소,상용보건진료소,인천광역시 강화군 교동면 교동동로 208-3,032-932-4381,,0,보건진료소,
80,강화군,보건진료소,서검보건진료소,인천광역시 강화군 삼산면 서검길 166-3,032-932-3928,,0,보건진료소,
81,강화군,보건진료소,신삼보건진료소,인천광역시 강화군 하점면 고려산로 506-2,032-933-1193,,0,보건진료소,
82,강화군,보건진료소,연리보건진료소,인천광역시 강화군 선원면 연동로210번길 3,032-932-1412,,0,보건진료소,
83,강화군,보건진료소,오두보건진료소,인천광역시 강화군 불은면 불은남로 293,032-937-6813,,0,보건진료소,
84,강화군,보건진료소,인화보건진료소,인천광역시 강화군 양사면 서사길105번길 47,032-934-5583,,0,보건진료소,
85,강화군,보건진료소,하리보건진료소,인천광역시 강화군 삼산면 삼산북로 790,032-932-3653,,0,보건진료소,
86,강화군,보건진료소,황청보건진료소,인천광역시 강화군 내가면 황청포구로 355,032-932-2819,,0,보건진료소,
87,강화군,보건진료소,흥왕보건진료소,인천광역시 강화군 화도면 해안남로 1916,032-937-4554,,0,보건진료소,
88,옹진군,병원,인천광역시의료원백령병원,인천광역시 옹진군 백령면 백령로233,032-836-1731,8,30,"내과, 소아청소년과, 신경과, 마취종증의학과,산부인과,응급의학과,치과보철과,정형외과 ",
89,옹진군,보건소,옹진군 보건소,인천광역시 미추홀구 매소홀로 120,032-899-2114,0,0,,
90,옹진군,보건지소,장봉보건지소,인천광역시 옹진군 북도면 장봉로 554 (북도면장봉출장소),032-899-3581,0,0,,
91,옹진군,보건지소,자월보건지소,"인천광역시 옹진군 자월면 자월서로164번길 23, 자월보건지소",032-899-3362,0,0,,
92,옹진군,보건지소,대청보건지소,인천광역시 옹진군 대청면 대청로 3,032-899-3341,0,0,,
93,옹진군,보건지소,덕적보건지소,"인천광역시 옹진군 덕적면 덕적남로 7-1, 덕적보건지소",032-899-3351,0,0,,
94,옹진군,보건지소,북도보건지소,"인천광역시 옹진군 북도면 시도로86번길 78,",032-899-3307,0,0,,
95,옹진군,보건지소,영흥보건지소,"인천광역시 옹진군 영흥면 영흥남로 449, 영흥보건지소",032-899-3371,0,0,,
96,옹진군,보건지소,연평보건지소,인천광역시 옹진군 연평면 연평중앙로 34-22,032-899-3311,0,0,,
97,옹진군,보건지소,백령보건지소,인천광역시 옹진군 백령면 백령로833번길 26-29,032-899-3321,0,0,,
98,옹진군,보건진료소,소이작보건진료소,"인천광역시 옹진군 자월면 소이작로42번길 5-2, 소이작 보건진료소",032-832-3695,0,0,,
99,옹진군,보건진료소,문갑보건진료소,"인천광역시 옹진군 덕적면 문갑2길 16, 문갑보건진료소",032-833-7373,0,0,,
100,옹진군,보건진료소,소연평보건진료소,"인천광역시 옹진군 연평면 소연평로19번길 28, 소연평보건소",032-831-8985,0,0,,
101,옹진군,보건진료소,울도보건진료소,"인천광역시 옹진군 덕적면 울도로 201, 울도보건진료소",032-858-9936,0,0,,
102,옹진군,보건진료소,이작보건진료소,인천광역시 옹진군 자월면 대이작로70번길 3-8,032-858-3553,0,0,,
103,옹진군,보건진료소,옹진군덕적면백아보건진료소,"인천광역시 옹진군 덕적면 백아로 88, 백아보건진료소",032-834-9836,0,0,,
104,옹진군,보건진료소,옹진군자월면승봉보건진료소,"인천광역시 옹진군 자월면 승봉로 90-2, 승봉보건진료소",032-899-3362,0,0,,
105,옹진군,보건진료소,옹진군덕적면소야보건진료소,"인천광역시 옹진군 덕적면 소야로 257-1, 소야보건진료소",032-831-7874,0,0,,
106,옹진군,보건진료소,옹진군대청면소청보건진료소,"인천광역시 옹진군 대청면 소청동로71번길 3, 소청보건진료소",032-836-3168,0,0,,
107,옹진군,보건진료소,옹진군영흥면선재리보건진료소,"인천광역시 옹진군 영흥면 선재로 150-9, 선재보건진료소",032-889-4769,0,0,,
108,옹진군,보건진료소,옹진군덕적면서포리보건진료소,"인천광역시 옹진군 덕적면 덕적남로625번길 9, 서포보건진료소",032-899-3351,0,0,,
109,옹진군,의원,공룡의원,"인천광역시 옹진군 연평면 연평로137번길 47-8, 사서함202호",,1,10,"내과, 정신건강의학과,외과,정형외과,마취통증의학과",
110,옹진군,의원,하나의료조합 영흥우리의원,"인천광역시 옹진군 영흥면 영흥로176번길 8, 영흥늘푸른센터",,6,26,"내과, 정형외과,신경외과,심장혈관흉부외과,소아청소년과,피부과,비뇨의학과,영상의학과,재활의학과,가정의학과",
111,옹진군,의원,흑룡의원,인천광역시 옹진군 백령면 백령로 831,,2,20,"내과,정신건강의학과,외과,정형외과,마취통증의학과",
112,옹진군,치과의원,하나의료조합영흥치과의원,"인천광역시 옹진군 영흥면 영흥로176번길 8, 영흥늘푸른센터",,0,0,"구강악안면외과,치과보철과,치과교정과,소아치과,치주과,치과보존과,구강내과,영상치의학과,구강병리과,예방치과",
113,옹진군,치과의원,공룡치과의원,"인천광역시 옹진군 연평면 연평로137번길 47-8, 연평장로교회 사서함 202호호",,0,0,,
114,옹진군,치과의원,흑룡치과의원,인천광역시 옹진군 백령면 백령로 831,,0,0,치과,
115,옹진군,한의원,흑룡한의원,인천광역시 옹진군 백령면 백령로 831,,0,0,한방내과,
116,중구,종합병원,인하대학교의과대학부속병원,인천광역시 중구 인항로 27 (신흥동3가),032-890-2114,208,775,치과보존과 치과교정과 치과보철과 구강악안면외과 응급의학과 직업환경의학과 핵의학과 가정의학과 재활의학과 진단검사의학과 병리과 방사선종양학과 영상의학과 비뇨의학과 피부과 이비인후과 안과 소아청소년과 산부인과 마취통증의학과 성형외과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 신경과 내과,
117,중구,종합병원,인천기독병원,인천광역시 중구 답동로30번길 10 (율목동),032-270-8000,45,178,치과보철과 응급의학과 직업환경의학과 진단검사의학과 영상의학과 비뇨의학과 이비인후과 소아청소년과 산부인과 마취통증의학과 심장혈관흉부외과 신경외과 정형외과 외과 정신건강의학과 내과,
118,중구,병원,퍼스트병원,"인천광역시 중구 서해대로 492, 1-5,8,12층 (유동)",032-888-9800,20,72,재활의학과,
119,중구,병원,가천대부속 동인천길병원,"인천광역시 중구 큰우물로 21 (용동, 지하1층, 1층, 3~5층, 8층)",032-770-1300,15,60,내과 성형외과 영상의학과 가정의학과,
120,중구,요양병원,고은요양병원,인천광역시 중구 연안부두로21번길 11-12 (항동7가),032-715-5933,23,140,한방재활의학과 재활의학과 피부과 신경외과 정형외과 외과 내과,
121,중구,요양병원,인천삼성요양병원,"인천광역시 중구 우현로62번길 30 (경동, 지하1층, 1층, 2층, 3층)",032-721-7575,27,189,침구과 한방내과 가정의학과 재활의학과 심장혈관흉부외과 외과 내과,
122,중구,요양병원,예지요양병원,인천광역시 중구 개항로 82 (경동),032-773-6035,19,118,한방내과 신경외과 내과,
123,중구,한방병원,신세계한방병원,"인천광역시 중구 서해대로 463, 1-4층 (신흥동2가)",032-766-3737,15,52,침구과 사상체질과 한방재활의학과 한방안·이비인후·피부과 한방소아과 한방부인과 한방내과 내과,
124,중구,한방병원,가천대학교부속 길한방병원,"인천광역시 중구 큰우물로 21 (용동, 가천대학교부속 길한방병원 본관 2층, 6층,7층, 9층,10층 )",032-770-1300,15,100,내과 한방내과 한방부인과 한방소아과 한방안·이비인후·피부과 한방신경정신과 한방재활의학과 사상체질과 침구과,
125,중구,의원,운서더굿정형외과의원,"인천광역시 중구 영종대로 184, 영종예스타워복합상영관 3층 302~305호 (운서동)",032-721-9957,0,0,외과 정형외과 응급의학과 신경외과 재활의학과 마취통증의학과,
126,중구,의원,영종튼튼신경외과의원,"인천광역시 중구 영종대로 106, 2층 (운서동)",032-746-7512,0,0,재활의학과 마취통증의학과 신경외과 정형외과,
127,중구,의원,리베리의원,"인천광역시 중구 하늘중앙로195번길 20, 3층 (중산동)",,0,0,성형외과 피부과,
128,중구,의원,하늘비뇨의학과의원,"인천광역시 중구 하늘중앙로 193, 5층 501~503호 (중산동)",032-710-3111,0,0,피부과 비뇨의학과 산부인과,
129,중구,의원,영종더굿정형외과의원,"인천광역시 중구 하늘중앙로225번길 11, 302,303호 (중산동)",032-746-9975,0,0,정형외과,
130,중구,의원,영종 센트럴 이비인후과의원,"인천광역시 중구 흰바위로 258, 5층 (운남동)",032-746-3579,1,1,피부과 이비인후과 소아청소년과 내과,
131,중구,의원,다시봄날의원,"인천광역시 중구 하늘중앙로195번길 21, 304~308호 (중산동)",032-716-5716,0,0,가정의학과 피부과 성형외과,
132,중구,의원,예스삼성소아청소년과의원,"인천광역시 중구 영종대로 184, 영종예스타워복합상영관 4층 401호 (운서동)",032-752-9722,0,0,피부과 이비인후과 안과 소아청소년과 정신건강의학과 내과,
133,중구,의원,맑은하늘이비인후과의원,"인천광역시 중구 하늘중앙로 193, 조양타워 603호 (중산동)",032-746-1017,1,1,이비인후과 가정의학과 소아청소년과 내과,
134,중구,의원,영종센트럴피부과의원,"인천광역시 중구 하늘중앙로 193, 조양타워 601호 (중산동)",032-751-2016,0,0,성형외과 피부과,
135,중구,의원,신세계안과의원,"인천광역시 중구 하늘중앙로 193, 405호 (중산동)",032-746-7502,0,0,안과,
136,중구,의원,예스피부과의원,"인천광역시 중구 영종대로 184, 영종예스타워복합상영관 4층 403 일부, 404, 405호 (운서동)",032-752-9730,0,0,피부과,
137,중구,의원,인천웰빙내과의원,"인천광역시 중구 우현로 75, 눈편한안과,상아치과,포도나무약국 2층 (인현동)",032-764-3800,0,0,내과,
138,중구,의원,영종이엠365의원,"인천광역시 중구 하늘달빛로 84, 4층 (중산동)",032-752-1190,8,20,내과 외과 정형외과 마취통증의학과 소아청소년과 응급의학과,
139,중구,의원,장튼튼내과의원,"인천광역시 중구 하늘달빛로 94, 스타타워1 301~303호 (중산동)",032-752-2388,0,0,내과 가정의학과,
140,중구,의원,스타소아청소년과의원,"인천광역시 중구 자연대로 47, 스타타워2 4층 407~410호 (중산동)",032-724-9003,0,0,소아청소년과 내과,
141,중구,의원,비앤씨의원,"인천광역시 중구 하늘중앙로225번길 3, 영종M타워 4,6(전층)층 5층 502호 (중산동)",032-752-8800,13,24,내과 정형외과 성형외과 소아청소년과 피부과 재활의학과 가정의학과,
142,중구,의원,성모연합의원,"인천광역시 중구 우현로 41, 2층 (신포동)",032-710-4474,0,0,피부과 이비인후과 소아청소년과 마취통증의학과 정형외과 외과 내과,
143,중구,의원,하늘성모안과의원,"인천광역시 중구 자연대로 47, 스타타워2 502,503호 (중산동)",032-747-1904,0,0,안과,
144,중구,의원,영종 따듯한 정신건강의학과의원,"인천광역시 중구 자연대로 47, 스타타워 501호 (중산동)",032-752-7900,0,0,정신건강의학과,
145,중구,의원,키클소아청소년과의원,"인천광역시 중구 하늘별빛로65번길 8-11, 메이채프라자 401~2호 (중산동)",032-713-7950,0,0,피부과 이비인후과 안과 소아청소년과 내과,
146,중구,의원,서울연합의원,"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 3층 304호 (중산동)",032-746-7740,0,0,가정의학과 비뇨의학과 피부과 이비인후과 소아청소년과 내과,
147,중구,의원,에스오디21의원,"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 302호 (중산동)",032-751-9676,0,0,가정의학과 피부과 소아청소년과 정신건강의학과 내과,
148,중구,의원,장형주정신건강의학과의원,"인천광역시 중구 흰바위로 31, 에어로시티 304호 (운서동)",032-214-8188,0,0,정신건강의학과,
149,중구,의원,하늘마디재활의학과의원,"인천광역시 중구 하늘별빛로65번길 8-11, 메이채프라자 5층 501,502호 (중산동)",032-751-8272,0,0,재활의학과 마취통증의학과 정형외과 신경과 내과,
150,중구,의원,영종바른이비인후과의원,"인천광역시 중구 하늘달빛로 94, 스타타워 4층 405~6호 (중산동)",032-751-5075,1,1,가정의학과 이비인후과 소아청소년과 내과,
151,중구,의원,하늘도시산부인과의원,"인천광역시 중구 하늘달빛로 94, 스타타워 5층 509,510,511호 (중산동)",032-746-1236,5,5,산부인과,
152,중구,의원,로하스의원,"인천광역시 중구 하늘달빛로 94, 스타타워 501,503,504호 (중산동)",032-715-6977,0,0,가정의학과 재활의학과 비뇨의학과 피부과 이비인후과 소아청소년과 마취통증의학과 정형외과 외과 신경과 내과,
153,중구,의원,인천국제공항 제2공항의원,"인천광역시 중구 제2터미널대로 446, 지하1층 (운서동)",032-743-7080,0,0,내과 외과 가정의학과 응급의학과,
154,중구,의원,아가파의원,"인천광역시 중구 흰바위로 31, 306호 (운서동, 에어로시티)",032-746-1002,0,0,비뇨의학과 피부과,
155,중구,의원,영종삼성의원,"인천광역시 중구 영종대로 100 (운서동, 신성하우스빌 5층)",032-752-8275,6,23,내과 정신건강의학과 외과 정형외과 신경외과 마취통증의학과 산부인과 소아청소년과 안과 이비인후과 피부과 비뇨의학과 재활의학과 가정의학과,
156,중구,의원,연세공항의원,"인천광역시 중구 공항로424번길 66 (운서동, 엘지인천공항에클라트 비111호, 비112호 )",032-751-6119,0,0,내과 신경과 정신건강의학과 외과 정형외과 신경외과 성형외과 산부인과 소아청소년과 안과 이비인후과 피부과 비뇨의학과 영상의학과 병리과 진단검사의학과 재활의학과 가정의학과 응급의학과 예방의학과,
157,중구,의원,튼튼소아청소년과의원,"인천광역시 중구 흰바위로 31 (운서동, 에어로시티 3층)",032-746-7588,0,0,이비인후과 소아청소년과 내과,
158,중구,의원,하늘정형외과의원,"인천광역시 중구 하늘중앙로 193, 조양타워 6층(일부),7층 605호, 701호 (중산동)",032-747-1321,9,28,외과 정형외과 신경외과 마취통증의학과 영상의학과 재활의학과 응급의학과,
159,중구,의원,하늘메디컬의원,"인천광역시 중구 하늘중앙로 193, 조양타워 4층 401호 (중산동)",032-752-6008,0,0,가정의학과 피부과 이비인후과 안과 소아청소년과 정형외과 외과 신경과 내과,
160,중구,의원,편안내과의원,"인천광역시 중구 하늘별빛로 71, 4층 (중산동)",032-747-2236,0,0,내과 이비인후과 피부과 소아청소년과 마취통증의학과,
161,중구,의원,수이비인후과의원,"인천광역시 중구 하늘별빛로 75, 3층 (중산동)",032-751-8274,0,0,내과 소아청소년과 안과 이비인후과 피부과 가정의학과,
162,중구,의원,영종연세안과의원,"인천광역시 중구 신도시남로 137 (운서동,화평빌딩 4층 (404, 405호))",032-752-8272,0,0,안과,
163,중구,의원,인하국제의원,인천광역시 중구 공항로424번길 84 (운서동),032-206-1888,0,0,가정의학과,
